Reporting Period: ,2020-12-01 to 2020-12-31,,,,,,,,,,
Date,Purchase Type,Refund/Chargeback,Country,Channel Name,Channel ID,Video ID,Status Change,Retail Price (USD),Total Tax (USD),Partner Earnings Fraction,Earnings (USD)
2020-12-16,SCT,False,IN,Koo Koo TV - Hindi,UCZNr3-bxFbzfLzbiJ_rJ5zw,4qw3h2WRD2I,,0.55,0.08,0.70,0.33
2020-12-03,SCT,False,IN,Koo Koo TV - Hindi,UCZNr3-bxFbzfLzbiJ_rJ5zw,uWahG4Xz6cI,,0.55,0.08,0.70,0.33
