Reporting Period: ,2021-03-01 to 2021-03-31,,,,,,,,
Date,Purchase Type,Refund/Chargeback,Country,Channel Name,Channel ID,Retail Price (USD),Total Tax (USD),Partner Earnings Fraction,Earnings (USD)
2021-03-17,SCT,False,IN,UTKARSH CLASSES JODHPUR,UCLuBF4Xr1-BIpcpFFm7zp7w,0.28,0.04,0.70,0.17
2021-03-31,SCT,False,IN,UTKARSH CLASSES JODHPUR,UCLuBF4Xr1-BIpcpFFm7zp7w,0.28,0.04,0.70,0.17
2021-03-04,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,4.99,0.00,0.70,2.45
2021-03-04,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,5.00,0.00,0.70,3.50
2021-03-19,SCT,False,IN,Lord Shiva Songs,UCZJSg5r9IBgknv0VQAVoETg,1.38,0.21,0.70,0.82
2021-03-19,SPT,False,IN,Surat Gurukul,UC6Mq8k0iG3L-ouRqhgMkWKw,2.20,0.33,0.70,1.31
2021-03-04,SST,False,KR,Spiritual Mantra,UCaF3MVnBYNnjAKF16k3mUjw,2.93,0.27,0.70,1.31
2021-03-10,SCT,False,IN,Spiritual Mantra,UCaF3MVnBYNnjAKF16k3mUjw,5.49,0.84,0.70,3.26
2021-03-11,SCT,False,IN,Spiritual Mantra,UCaF3MVnBYNnjAKF16k3mUjw,0.28,0.04,0.70,0.17
2021-03-04,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,5.00,0.00,0.70,3.50
2021-03-27,SCT,False,IN,UTKARSH CLASSES JODHPUR,UCLuBF4Xr1-BIpcpFFm7zp7w,0.28,0.04,0.70,0.17
2021-03-18,SCT,False,AU,Surat Gurukul,UC6Mq8k0iG3L-ouRqhgMkWKw,3.90,0.35,0.70,2.49
2021-03-04,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,5.00,0.00,0.70,3.50
2021-03-11,SCT,False,IN,Lord Shiva Songs,UCZJSg5r9IBgknv0VQAVoETg,0.28,0.04,0.70,0.17
2021-03-03,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,5.00,0.00,0.70,3.50
2021-03-11,SCT,False,IN,UTKARSH CLASSES JODHPUR,UCLuBF4Xr1-BIpcpFFm7zp7w,0.55,0.08,0.70,0.33
2021-03-11,SCT,False,IN,Spiritual Mantra,UCaF3MVnBYNnjAKF16k3mUjw,1.38,0.21,0.70,0.82
2021-03-11,SCT,False,IN,Spiritual Mantra,UCaF3MVnBYNnjAKF16k3mUjw,0.28,0.04,0.70,0.17
2021-03-13,SPT,False,IN,Surat Gurukul,UC6Mq8k0iG3L-ouRqhgMkWKw,0.82,0.12,0.70,0.49
2021-03-15,SCT,False,US,Kalupur Mandir,UCSOO8aliEwUKxIVkk5Igz-A,5.00,0.00,0.70,3.50
2021-03-14,SPT,False,AU,Surat Gurukul,UC6Mq8k0iG3L-ouRqhgMkWKw,2.32,0.21,0.70,1.49
2021-03-31,SCT,False,IN,UTKARSH CLASSES JODHPUR,UCLuBF4Xr1-BIpcpFFm7zp7w,0.55,0.08,0.70,0.33
2021-03-10,SST,False,IN,Spiritual Mantra,UCaF3MVnBYNnjAKF16k3mUjw,1.38,0.21,0.70,0.82
2021-03-04,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,5.00,0.00,0.70,3.50
2021-03-04,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,5.00,0.00,0.70,3.50
2021-03-03,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,4.99,0.00,0.70,2.45
2021-03-11,SCT,False,IN,Lord Shiva Songs,UCZJSg5r9IBgknv0VQAVoETg,2.75,0.42,0.70,1.63
2021-03-04,SCT,False,IN,UTKARSH CLASSES JODHPUR,UCLuBF4Xr1-BIpcpFFm7zp7w,0.28,0.04,0.70,0.17
2021-03-04,SCT,False,IN,UTKARSH CLASSES JODHPUR,UCLuBF4Xr1-BIpcpFFm7zp7w,0.28,0.04,0.70,0.17
2021-03-20,SCT,False,IN,UTKARSH CLASSES JODHPUR,UCLuBF4Xr1-BIpcpFFm7zp7w,1.38,0.21,0.70,0.82
2021-03-19,SCT,False,IN,UTKARSH CLASSES JODHPUR,UCLuBF4Xr1-BIpcpFFm7zp7w,0.28,0.04,0.70,0.17
2021-03-04,SCT,False,CA,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,0.80,0.00,0.70,0.56
2021-03-04,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,5.00,0.00,0.70,3.50
2021-03-25,SCT,False,IN,UTKARSH CLASSES JODHPUR,UCLuBF4Xr1-BIpcpFFm7zp7w,0.28,0.04,0.70,0.17
2021-03-08,SCT,False,IN,UTKARSH CLASSES JODHPUR,UCLuBF4Xr1-BIpcpFFm7zp7w,1.37,0.21,0.70,0.81
2021-03-12,SCT,False,IN,UTKARSH CLASSES JODHPUR,UCLuBF4Xr1-BIpcpFFm7zp7w,0.28,0.04,0.70,0.17
