Country,Product,URI,UPC,EAN,ISRC,Track name,Artist name,Composer name,Album name,Quantity,Label,Payable invoice,Invoice currency,Payable EUR,Payable USD
DK,P,spotify:track:7E95baYBXAlj83y4Tr8tBC,711099370195,,INS641200109,Aura,Sri Sri Ravi Shankar,N/A,Aura,1,The Art of living,0.006784,EUR,0.007,0.008
IN,FAM6,spotify:track:2ARKgOysIm7MilR4ygzRgc,644824510002,,USDCH1037144,Radhe Govinda,Mehul Pandit,N/A,Infinity Within,1,The Art Of Living,0.000557,USD,0.000,0.001
GB,DUO,spotify:track:6lwXvIpkmc1qtPjWB7gHfu,711099370171,,INS641201233,Gokul Me,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,21,The Art Of Living,0.103932,GBP,0.122,0.143
US,PDS,spotify:track:5rzayvd6gBbvyGdC7qFqzI,711099369571,,INS641200450,Hari Sundara Nanda,Dr. Manikantam,N/A,Best Of Dr. Manikantam,5,The Art Of Living,0.010834,USD,0.009,0.011
NZ,P,spotify:track:5bCPr4XoKnZm3CC2tgm0Oy,644824510187,,USDCH1037254,Pisces,Horsepowar,N/A,Pisces,1,Horsepowar Records Inc,0.00476,EUR,0.005,0.006
IN,A,spotify:track:6nQIwhVa4I6IsglePvGaE4,644824518206,,INS641202148,Jai Guru Omkara,"Murad Ali Khan, Fateh Ali",N/A,Ananta,2,The Art Of Living,0.000137,USD,0.000,0.000
US,TRIAL-3M,spotify:track:5jDptBzXcm1CNEjWvkgve2,711099370171,,INS641201231,Damroo Bhaje,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,1,The Art Of Living,0.001923,USD,0.002,0.002
NL,P,spotify:track:50RxAXvBs18zquwdwf2ZOV,644824510019,,USDCH1037153,Om Namah Shivaya - 108 Times,Swami Purnachaitanya,N/A,Mantra Kavacham,31,The Art Of Living,0.164149,EUR,0.164,0.193
AU,A,spotify:track:4okyofYDEy9JSDD8WpCPoF,711099370058,,INS641200067,om namah shivaya,Gayatri Ashokan,N/A,Anahata,13,The Art of living,0.020958,EUR,0.021,0.025
IN,P,spotify:track:5cvwWXSNPdOOxWlsilA4ZG,612292246655,,USDCH1033651,Maha Mritunjaya Mantra,Trisha Parui,N/A,Sublime Bhajans Vol - 8,1,Ariha Audio,0.001117,USD,0.001,0.001
CH,FAM6,spotify:track:0dgLLTtvBl6lsrOy1QGqbH,711099368758,,INS641200539,Narayan Narayan,Vikram Hazra,N/A,Achutam,2,The Art of living,0.006763,EUR,0.007,0.008
PA,P,spotify:track:3joWAP1AaHTzUUkk96TE2H,711099369632,,INS641200719,Om Namo Narayana,Sahil Jagtiani,N/A,Best Of Sahil Jagtiani,1,The Art Of Living,0.003679,USD,0.003,0.004
ES,FAM6,spotify:track:19ZFh6XKmACdmufaHDhhrU,644824510248,,USDCH1037304,Medha Suktam,Swami Purnachaitanya,N/A,Suktanjali,2,The Art of living,0.004367,EUR,0.004,0.005
PH,FAM6,spotify:track:30UNQILbZApyiGklUKwozt,644824510248,,USDCH1037301,Aghamarshana Suktam,Swami Purnachaitanya,N/A,Suktanjali,1,The Art of living,0.000524,EUR,0.001,0.001
ZA,FAM6,spotify:track:07u9Dk9lSxOAt3v1mc903r,711099370171,,INS641201190,Shivaraja Maheshwara,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,22,The Art Of Living,0.023704,EUR,0.024,0.028
IN,P,spotify:track:0M8czKUnpZXsf43BEtpi6q,644824510019,,USDCH1037146,Dhanvantari Mantra - 108 Times,Swami Purnachaitanya,N/A,Mantra Kavacham,43,The Art Of Living,0.04805,USD,0.041,0.048
LB,P,spotify:track:4Tg2j89RWqSeaNRouicOJr,644824510019,,USDCH1037150,Om Gan Ganapataye Namah - 108 Times,Swami Purnachaitanya,N/A,Mantra Kavacham,1,The Art Of Living,0.003923,USD,0.003,0.004
TH,P,spotify:track:29zvQKgYS3bfPMmTNTbVeu,711099368321,,INS641200380,Narayana,Sachin Limaye,N/A,Best Of Sachin Limaye,1,The Art Of Living,0.002147,EUR,0.002,0.003
US,PDS,spotify:track:6Vm8aIqUG8Klk2IWJ1E1RK,644824510248,,USDCH1037293,Bhagya Suktam,Swami Purnachaitanya,N/A,Suktanjali,6,The Art of living,0.013001,USD,0.011,0.013
BR,A,spotify:track:3vNXe4zdmp1qF4To4e4THC,711099369571,,INS641200598,Krishnam Vande,Dr. Manikantam,N/A,Best Of Dr. Manikantam,1,The Art Of Living,0.000146,EUR,0.000,0.000
IN,PDS,spotify:track:0Dp6Kb6qFZOlIDGeKhrXA7,612292243876,,USDCH1032016,SHIVOHAM SHIVOHAM,Minakshi Majumdar,N/A,Transcendental,2,Ariha Audio,0.000975,USD,0.001,0.001
LK,PDIB,spotify:track:4sgNLfPGN5FGvLTSKqTBPw,711099369571,,INS641200579,Govinda Gokula Chanda,Dr. Manikantam,N/A,Best Of Dr. Manikantam,1,The Art Of Living,0.00155,EUR,0.002,0.002
CO,A,spotify:track:4Tg2j89RWqSeaNRouicOJr,644824510019,,USDCH1037150,Om Gan Ganapataye Namah - 108 Times,Swami Purnachaitanya,N/A,Mantra Kavacham,3,The Art Of Living,0.000427,EUR,0.000,0.001
CZ,A,spotify:track:4NMhbrcRodBr0WUYtI9tdQ,630808420252,,USDCH1041491,Anhar Ka Ke Ghar Tu Sataiba Rat Bhar,"Khesari Lal Yadav, Honey B",N/A,Ek Saazish Jaal,3,Enterr10 Music Bhojpuri,0.000198,EUR,0.000,0.000
AE,P,spotify:track:2Qnu9Tw3nW2nhUeLv6vmGq,710825994407,,USDCH1025832,Asatoma Sadgamaya,Trisha Parui,N/A,Sublime Bhajans Vol - 3,11,Ariha Audio,0.033851,EUR,0.034,0.040
IN,A,spotify:track:7wNORPR08IeSQdG4ZPHTey,711099369045,,INS641201624,Shiva Shiva,Sahil Jagtiani,N/A,A Better World,11,The Art Of Living,0.000752,USD,0.001,0.001
CA,PDS,spotify:track:7oXdFQ3L8TSNlRU5QZULsH,644824510248,,USDCH1037299,Ganapati Atharvashirsham,Swami Purnachaitanya,N/A,Suktanjali,2,The Art of living,0.003144,EUR,0.003,0.004
ZA,P,spotify:track:3M6nxNh1mi2Mm6pbPLraKM,644824510019,,USDCH1037152,Om Namo Narayanaya - 108 Times,Swami Purnachaitanya,N/A,Mantra Kavacham,2,The Art Of Living,0.004178,EUR,0.004,0.005
US,P,spotify:track:4sARbPRquU7YoQf40GloEu,644824516400,,USDCH1039851,Ban,"Aryan Khan, Qandeel Baloch",N/A,Ban,1,Beyond Records,0.005456,USD,0.005,0.005
IN,A,spotify:track:23UlrcY51CPFWWxJndzUtl,711099367393,,USDCH1021283,La Ilah Ilallah,Habib Ajmeri,N/A,Ranka Qawwali Muqabala Vol- 1,1,Mr Series,0.000068,USD,0.000,0.000
IN,A,spotify:track:01pOUjvzfjEArqq0AsDAJr,711099363227,,USDCH1018526,Sata Jan Panjara,"Amrita Dixit, Pintu Lal Yadav",N/A,Kawna Coaching Me Jalu,1,Kundan Films,0.000068,USD,0.000,0.000
IN,PDS,spotify:track:4v1NuzNRsoU3GMbtSUtjIo,700621799948,,USDCH1015668,Kalyan Mandir Stotra,Induben Dhanak,N/A,Jain Stotra Sangrah,2,Rajmudra Productions,0.000975,USD,0.001,0.001
GB,A,spotify:track:5sCkzFVc190z1rCa6RMpfP,644824517872,,USDCH1040603,Ka Se Kamaayib,"Khesari Lal Yadav, Priyanka Maurya",N/A,Bhag Khesari Bhag,3,Enterr10 Music Bhojpuri,0.004803,GBP,0.006,0.007
GB,DUO,spotify:track:7nhruba4fm49yMszdvluzk,644824517261,,USDCH1040333,Makhna,"Waqas Ali, Shazia Manzoor, Aryan Khan",N/A,Makhna,3,Beyond Records,0.014847,GBP,0.017,0.020
US,FAM6,spotify:track:3aJZgIjKDT8UsS0bTEHtjO,700621800088,,USDCH1016407,Prabhuji Sada Hi Ham Par Kirpa Banaye Rakhna,Irfan Meer,N/A,Tari Bhakti No Sathwaro,14,Rajmudra Productions,0.040214,USD,0.034,0.040
IN,FAM6,spotify:track:0bGmGC6u0VH8svOCgg6jxL,711099369281,,INS641200347,Guru Ki Mahima,Chitra Roy,N/A,Best Of Chitra Roy,2,The Art Of Living,0.001115,USD,0.001,0.001
NZ,FAM6,spotify:track:6DBQt83lPEV3EmjNq6S9Rw,644824510248,,USDCH1037294,Sri Suktam,Swami Purnachaitanya,N/A,Suktanjali,2,The Art of living,0.004644,EUR,0.005,0.005
FR,A,spotify:track:0gU6uIADcIXHx2MdfXnMl3,644824516516,,USDCH1039862,Tere Naal - Zohaib Amjad,Zohaib Amjad,N/A,Tere Naal,3,Beyond Records,0.001125,EUR,0.001,0.001
BR,FAM6,spotify:track:3e0daWq4Pp1kzpjzK5M17K,612292243876,,USDCH1032015,SARVA MANGAL MANGALYA,Minakshi Majumdar,N/A,Transcendental,2,Ariha Audio,0.002376,EUR,0.002,0.003
IN,A,spotify:track:42fNYHjfT0Tstncne6dCWP,612292253240,,USDCH1036444,Kab Aawoge Sanam,Ranjeeta Sharma,N/A,Bewafai Hits 5,2,Sai Recordds Entertainment,0.000137,USD,0.000,0.000
FR,FAM6,spotify:track:6vVDXzloxPh5i6LllhvEE6,711099362503,,USDCH1500001,Neray Aah,Mathira,N/A,Neray Aah,2,Beyond Records,0.00523,EUR,0.005,0.006
IN,A,spotify:track:4uuXZaXEqHVQo0EhsyR2gK,711099368321,,INS641201157,Vighna Harana,Sachin Limaye,N/A,Best Of Sachin Limaye,30,The Art Of Living,0.002051,USD,0.002,0.002
PH,PDS,spotify:track:1qWBWMCMNd7wIXaknViBvc,711099369373,,INS641200535,Achutam Keshavam,Vikram Hazra,N/A,Amrit,2,The Art of living,0.001016,EUR,0.001,0.001
JP,A,spotify:track:1RwGH9QHz6CX0FlnMElZ41,700621799870,,USDCH1015573,Teri Panah Me Hame Rakhna,Rupal Doshi,N/A,Bhakt Tu Maro Jawab Sambhali Le,11,Rajmudra Productions,0.001723,EUR,0.002,0.002
AE,P,spotify:track:2FR9sRndvI2raZ07duGEaH,644824510248,,USDCH1037302,Samnyasa Suktam,Swami Purnachaitanya,N/A,Suktanjali,1,The Art of living,0.003077,EUR,0.003,0.004
CA,FAM6,spotify:track:7AyoTEN5QEFHyTnmwnr9Vg,630808420283,,USDCH1041685,Patar Patar Pan Ke Danti,"Khesari Lal Yadav, Priyanka Singh",N/A,Mehandi Laga Ke Rakhna 3,1,Enterr10 Music Bhojpuri,0.001896,EUR,0.002,0.002
US,A,spotify:track:42EHrjFtoTjRtRLSBtT8CU,644824510484,,INS641201249,Radhe,Gayatri Ashokan,N/A,Vishuddhi,7,The Art Of Living,0.026074,USD,0.022,0.026
CA,A,spotify:track:3OsDw79DRds6gKA0P7A7Tr,612292243876,,USDCH1032010,HE KRISHNA GOPAL HARI,Nirmalya Roy,N/A,Transcendental,1,Ariha Audio,0.002073,EUR,0.002,0.002
SG,P,spotify:track:3g8bVgAjYDh76aJakvWt1B,644824510248,,USDCH1037305,Mantra Pushpam,Swami Purnachaitanya,N/A,Suktanjali,1,The Art of living,0.00362,EUR,0.004,0.004
SG,P,spotify:track:4okyofYDEy9JSDD8WpCPoF,711099370058,,INS641200067,om namah shivaya,Gayatri Ashokan,N/A,Anahata,37,The Art of living,0.133948,EUR,0.134,0.158
HK,A,spotify:track:6Z9MDChiqQs3JREizdhjfR,644824517612,,USDCH1040539,Hanswadhwani,"Amaan Ali Bangash, Ayaan Ali Bangash",N/A,New Delhi - A Journey,2,Hotel Leelaventure Limited,0.000301,EUR,0.000,0.000
IN,PDS,spotify:track:5ILFHZDfO09qwMo4aHnhE6,700621800033,,USDCH1016036,Dhamal Sanedo,Rajendra Pala,N/A,Sanedo sanedo Lal Lal DJ Dhamal,15,Rajmudra Productions,0.00731,USD,0.006,0.007
TR,PDS,spotify:track:4okyofYDEy9JSDD8WpCPoF,711099370058,,INS641200067,om namah shivaya,Gayatri Ashokan,N/A,Anahata,1,The Art of living,0.000451,EUR,0.000,0.001
US,FAM6,spotify:track:1f6yJtksRFyOo0Ke5dQZe1,630808420269,,USDCH1041506,Paniya Ke Dhaar,"Rakesh Mishra, Prianka Singh",N/A,Ichchhadhari Naag,1,Enterr10 Music Bhojpuri,0.002872,USD,0.002,0.003
NL,FAM6,spotify:track:7eTyXoMvJztDiLtJPUodXY,711099370171,,INS641200548,Jai Jai Radha Ramana Hari Bol,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,27,The Art Of Living,0.069074,EUR,0.069,0.081
IN,A,spotify:track:6ABs03FrUyzgJjji4RmlTl,644824510255,,USDCH1037326,Mere Dil Ke Zakhmo Ko,Nandini Tiwari,N/A,Bewafai Hits 8,1,Sai Recordds Entertainment,0.000068,USD,0.000,0.000
GB,A,spotify:track:1GQLotFuVztwl7Ev91Ugxc,644824517872,,USDCH1040602,Biyahwa Ke Baad Milega,"Khesari Lal Yadav, Honey B",N/A,Bhag Khesari Bhag,1,Enterr10 Music Bhojpuri,0.001601,GBP,0.002,0.002
HK,PDS,spotify:track:7nhruba4fm49yMszdvluzk,644824517261,,USDCH1040333,Makhna,"Waqas Ali, Shazia Manzoor, Aryan Khan",N/A,Makhna,1,Beyond Records,0.001674,EUR,0.002,0.002
IN,TRIAL-6M,spotify:track:4j6u4LsEi98crgKBrTeqH4,612292243876,,USDCH1032013,OM NAMOH BHAGVATE VASUDEVAYA,Nirmalya Roy,N/A,Transcendental,1,Ariha Audio,0.000824,USD,0.001,0.001
IN,A,spotify:track:0bNgtF5TPeVRbXrNlEwpyf,711099369663,,INS641200028,Kaamakshi,Sudha Ranjith,N/A,Abhayam,1,The Art of living,0.000068,USD,0.000,0.000
CA,FAM6,spotify:track:6hdwT1ervIITLxDILMkBUI,711099369632,,INS641200259,Shambho,Sahil Jagtiani,N/A,Best Of Sahil Jagtiani,3,The Art Of Living,0.005688,EUR,0.006,0.007
ID,FAM6,spotify:track:3DlNSeX2zzaZNxJdQcZEVz,644824510248,,USDCH1037292,Ganesha Suktam,Swami Purnachaitanya,N/A,Suktanjali,2,The Art of living,0.001087,EUR,0.001,0.001
IE,FAM6,spotify:track:2AHpvnMUFvItPsHz9MAT45,612292244132,,USDCH1032146,Solar Plexus Meditation 320 Hz,Sourabh Kumar,N/A,Meditation for soul,2,Ariha Audio,0.006785,EUR,0.007,0.008
IE,P,spotify:track:5bCPr4XoKnZm3CC2tgm0Oy,644824510187,,USDCH1037254,Pisces,Horsepowar,N/A,Pisces,4,Horsepowar Records Inc,0.025348,EUR,0.025,0.030
DE,DUO,spotify:track:4qOpOUL01HYpzskXpJaQIy,711099370171,,INS641201187,Om Namah Shivaya,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,1,The Art Of Living,0.004015,EUR,0.004,0.005
IN,A,spotify:track:5WymhvTorSh2LA0lHBsd4t,710825994988,,USDCH1025893,Ishq Me Hum Mar Jaib,"Pawan Singh, Priyanka Singh",N/A,Saiyaan Superstar,24,Enterr10 Music Bhojpuri,0.001641,USD,0.001,0.002
GB,PDS,spotify:track:0A0aNcQVITgOHABB5wpJsI,709586781524,,USDCH1024449,Radhe Govinda Krishna,Trisha Parui,N/A,Sublime Bhajans Vol - 2,16,Ariha Audio,0.043384,GBP,0.051,0.060
IN,A,spotify:track:7xah91JuwRg7JjghnFNhCO,700621799795,,USDCH1015199,Tame Man Mukine Varsya,Rupal Doshi,N/A,He Karunana Karnara,1,Rajmudra Productions,0.000068,USD,0.000,0.000
GB,PDS,spotify:track:4HH7wlKAGnhRAu8GFBepcq,711099369373,,INS641200989,Har Har Bole,Vikram Hazra,N/A,Amrit,1,The Art of living,0.002712,GBP,0.003,0.004
IN,A,spotify:track:32MPbbw4TG43RIU4ZSr6y7,700621799962,,USDCH1015738,Kaha Chhup Gaye Kaneya,Suresh Rawal,N/A,Kathiyawadi 60 Bhajno,1,Rajmudra Productions,0.000068,USD,0.000,0.000
MX,DUO,spotify:track:6DBQt83lPEV3EmjNq6S9Rw,644824510248,,USDCH1037294,Sri Suktam,Swami Purnachaitanya,N/A,Suktanjali,1,The Art of living,0.001657,EUR,0.002,0.002
AR,FAM6,spotify:track:7uVXSocrQGOh31c0YVEOiP,711099370171,,INS641201106,Tumase Ho Jori,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,4,The Art Of Living,0.002858,EUR,0.003,0.003
NL,P,spotify:track:4HH7wlKAGnhRAu8GFBepcq,711099369373,,INS641200989,Har Har Bole,Vikram Hazra,N/A,Amrit,2,The Art of living,0.01059,EUR,0.011,0.012
US,P,spotify:track:5iS5YsHyTBIC8EMUtzGtgD,644824510019,,USDCH1037151,Om Namo Bhagavate Vasudevaya - 108 Times,Swami Purnachaitanya,N/A,Mantra Kavacham,14,The Art Of Living,0.076377,USD,0.065,0.076
BR,P,spotify:track:4okyofYDEy9JSDD8WpCPoF,711099370058,,INS641200067,om namah shivaya,Gayatri Ashokan,N/A,Anahata,21,The Art of living,0.047467,EUR,0.047,0.056
SG,P,spotify:track:2j39TRa9GsAo4GoqIZrZW6,711099369373,,INS641200541,Nikunj Mein Biraje,Vikram Hazra,N/A,Amrit,19,The Art of living,0.068784,EUR,0.069,0.081
US,FAM6,spotify:track:28AdRrTMCSVlOt5nD8MGo9,711099369809,,INS641200017,Vithoba Rukumai(Gujar),Sahil Jagtiani,N/A,Abhangnaad,1,The Art Of Living,0.002872,USD,0.002,0.003
CL,FAM6,spotify:track:6eSFXIcX1Lwn3qTLFGsbnG,711099369632,,INS641201634,Gurudev,Sahil Jagtiani,N/A,Best Of Sahil Jagtiani,1,The Art Of Living,0.000969,EUR,0.001,0.001
IN,FAM6,spotify:track:0A0aNcQVITgOHABB5wpJsI,709586781524,,USDCH1024449,Radhe Govinda Krishna,Trisha Parui,N/A,Sublime Bhajans Vol - 2,64,Ariha Audio,0.035671,USD,0.030,0.036
GB,P,spotify:track:6TspKBPvfaNei31ZubcbRs,644824510019,,USDCH1037147,Maha Mrityunjaya Mantra - 108 Times,Swami Purnachaitanya,N/A,Mantra Kavacham,4,The Art Of Living,0.022714,GBP,0.027,0.031
UY,TRIAL-3M,spotify:track:4qOpOUL01HYpzskXpJaQIy,711099370171,,INS641201187,Om Namah Shivaya,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,2,The Art Of Living,0.002158,USD,0.002,0.002
BE,A,spotify:track:0M8SbeFoW6hCFMlfwI1qwa,711099369632,,INS641200272,Har Dev Dev Har Mahadev,Sahil Jagtiani,N/A,Best Of Sahil Jagtiani,1,The Art Of Living,0.000491,EUR,0.000,0.001
CL,A,spotify:track:4Tg2j89RWqSeaNRouicOJr,644824510019,,USDCH1037150,Om Gan Ganapataye Namah - 108 Times,Swami Purnachaitanya,N/A,Mantra Kavacham,19,The Art Of Living,0.001484,EUR,0.001,0.002
CZ,P,spotify:track:30UNQILbZApyiGklUKwozt,644824510248,,USDCH1037301,Aghamarshana Suktam,Swami Purnachaitanya,N/A,Suktanjali,1,The Art of living,0.003356,EUR,0.003,0.004
GB,FAM6,spotify:track:6eSFXIcX1Lwn3qTLFGsbnG,711099369632,,INS641201634,Gurudev,Sahil Jagtiani,N/A,Best Of Sahil Jagtiani,12,The Art Of Living,0.040066,GBP,0.047,0.055
BH,A,spotify:track:62wDq4t8xD98Ljxu3YayOw,644824510248,,USDCH1037291,Introduction,Swami Purnachaitanya,N/A,Suktanjali,1,The Art of living,0.000015,USD,0.000,0.000
AR,P,spotify:track:2mtspMRwappDVoD15pSeyU,612292245856,,USDCH1033064,Third Eye Chakra,Sourabh Kumar,N/A,Healing Meditation with Frequency,2,Ariha Audio,0.002566,EUR,0.003,0.003
NP,A,spotify:track:4NMhbrcRodBr0WUYtI9tdQ,630808420252,,USDCH1041491,Anhar Ka Ke Ghar Tu Sataiba Rat Bhar,"Khesari Lal Yadav, Honey B",N/A,Ek Saazish Jaal,5,Enterr10 Music Bhojpuri,0,USD,0.000,0.000
NZ,A,spotify:track:73bpsmjnNktlcigbBmIDLt,711099369373,,INS641200834,Jaya Durge Laxmi,Vikram Hazra,N/A,Amrit,5,The Art of living,0.002529,EUR,0.003,0.003
IN,A,spotify:track:1bO2LZ9mBoRrYedS2I6abQ,711099369748,,INS641200966,Ananta Rupani,Gayatri Ashokan,N/A,Best Of Gayatri Ashokan,6,The Art Of Living,0.00041,USD,0.000,0.000
ZA,P,spotify:track:5Pzff8F7DT9AwK1loEgVbX,644824510248,,USDCH1037296,Durga Suktam,Swami Purnachaitanya,N/A,Suktanjali,11,The Art of living,0.022979,EUR,0.023,0.027
NL,FAM6,spotify:track:0M8SbeFoW6hCFMlfwI1qwa,711099369632,,INS641200272,Har Dev Dev Har Mahadev,Sahil Jagtiani,N/A,Best Of Sahil Jagtiani,2,The Art Of Living,0.005117,EUR,0.005,0.006
AR,FAM6,spotify:track:1zFtZmcGTbfJ8tav5hWDuo,644824510002,,USDCH1037140,Durge,Mehul Pandit,N/A,Infinity Within,6,The Art Of Living,0.004286,EUR,0.004,0.005
DE,P,spotify:track:2zBtHME9yjwLt2edGwVBFb,644824523101,,USDCH1040882,Chilling In Dubai,Arbaz Khan,N/A,Chilling In Dubai,2,Beyond Records,0.009414,EUR,0.009,0.011
IN,A,spotify:track:5nbhap9zImbcVjAy367C7m,711099368321,,INS641200547,Krishnam Vande,Sachin Limaye,N/A,Best Of Sachin Limaye,667,The Art Of Living,0.045606,USD,0.039,0.046
BG,FAM6,spotify:track:7eTyXoMvJztDiLtJPUodXY,711099370171,,INS641200548,Jai Jai Radha Ramana Hari Bol,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,1,The Art Of Living,0.001367,EUR,0.001,0.002
IN,PDS,spotify:track:4LFyWIPtdQc07c3w08VnSR,612292243876,,USDCH1032009,GOVINDA KRISHNA HARI OM,Trisha Parui,N/A,Transcendental,5,Ariha Audio,0.002437,USD,0.002,0.002
IN,PDLS12,spotify:track:3e0daWq4Pp1kzpjzK5M17K,612292243876,,USDCH1032015,SARVA MANGAL MANGALYA,Minakshi Majumdar,N/A,Transcendental,3,Ariha Audio,0.00278,USD,0.002,0.003
AE,FAM6,spotify:track:1qWBWMCMNd7wIXaknViBvc,711099369373,,INS641200535,Achutam Keshavam,Vikram Hazra,N/A,Amrit,92,The Art of living,0.149088,EUR,0.149,0.175
UY,A,spotify:track:6eSFXIcX1Lwn3qTLFGsbnG,711099369632,,INS641201634,Gurudev,Sahil Jagtiani,N/A,Best Of Sahil Jagtiani,2,The Art Of Living,0.000206,USD,0.000,0.000
IN,A,spotify:track:2LNBXvtYYL2GsBEkRcRU9B,710825995015,,USDCH1025915,Fasari Laga Leb,"Khesari Lal Yadav, Priyanka Singh",N/A,Hum Hain Hindustani,792,Enterr10 Music Bhojpuri,0.054153,USD,0.046,0.054
NL,A,spotify:track:7DLKT0i0nCnl9UseTKLPtf,711099369373,,INS641200542,Radhe Radhe Radhe Shyam,Vikram Hazra,N/A,Amrit,10,The Art of living,0.00792,EUR,0.008,0.009
IN,P,spotify:track:6sxxkc4IeornJmozXmYceH,700621799702,,USDCH1015061,Pehla Pyar,Zohaib Amjad,N/A,Pehla Pyar,2,Beyond Records,0.002235,USD,0.002,0.002
CL,FAM6,spotify:track:04l7FE9DcshkQrvT8vGOcr,711099369571,,INS641201117,Sundaranana,Dr. Manikantam,N/A,Best Of Dr. Manikantam,3,The Art Of Living,0.002906,EUR,0.003,0.003
GE,A,spotify:track:2j39TRa9GsAo4GoqIZrZW6,711099369373,,INS641200541,Nikunj Mein Biraje,Vikram Hazra,N/A,Amrit,1,The Art of living,0,USD,0.000,0.000
GE,A,spotify:track:5rzayvd6gBbvyGdC7qFqzI,711099369571,,INS641200450,Hari Sundara Nanda,Dr. Manikantam,N/A,Best Of Dr. Manikantam,1,The Art Of Living,0,USD,0.000,0.000
CR,FAM6,spotify:track:6Vm8aIqUG8Klk2IWJ1E1RK,644824510248,,USDCH1037293,Bhagya Suktam,Swami Purnachaitanya,N/A,Suktanjali,1,The Art of living,0.001673,USD,0.001,0.002
MY,P,spotify:track:47tln8PoDpexvcRxbnAgOJ,711099369632,,INS641200265,Jaya Jaya Krishna Krishna Hare,Sahil Jagtiani,N/A,Best Of Sahil Jagtiani,1,The Art Of Living,0.002052,EUR,0.002,0.002
GB,P,spotify:track:2AHpvnMUFvItPsHz9MAT45,612292244132,,USDCH1032146,Solar Plexus Meditation 320 Hz,Sourabh Kumar,N/A,Meditation for soul,3,Ariha Audio,0.017035,GBP,0.020,0.024
US,DUO,spotify:track:3EOBOMjKqm5wKfmXkX5pNX,612292244101,,USDCH1032132,Sri Ramachandra,Arijit Chakraborty,N/A,Sublime Bhajans Vol 6,5,Ariha Audio,0.021436,USD,0.018,0.021
GB,P,spotify:track:7aQVj9HvQk2t4avsEJpnYI,700621800088,,USDCH1016403,Shraddha Deep Lai Aavo,Irfan Meer,N/A,Tari Bhakti No Sathwaro,1,Rajmudra Productions,0.005678,GBP,0.007,0.008
IN,A,spotify:track:7oQaGwLGPoPNW4coD1cB9x,630808419690,,USDCH1041246,Mahalakshmi Mantra (108 times),Gopal Das,N/A,Divine Mantras Bhajans - Vol. 2,1,Mobile Media,0.000068,USD,0.000,0.000
CA,FAM6,spotify:track:0o2QrISBpiRfnBdDzcY7P0,612292246655,,USDCH1033646,Hanuman Mantra,Disha Roy,N/A,Sublime Bhajans Vol - 8,7,Ariha Audio,0.013271,EUR,0.013,0.016
AR,FAM6,spotify:track:5nbhap9zImbcVjAy367C7m,711099368321,,INS641200547,Krishnam Vande,Sachin Limaye,N/A,Best Of Sachin Limaye,3,The Art Of Living,0.002143,EUR,0.002,0.003
VN,A,spotify:track:1yOhgI68MMaDvS8qQMMxEJ,644824510309,,INS641202200,Madhava Mohana,Dr. Manikantan,N/A,Bhavanjali,4,The Art Of Living,0.000436,EUR,0.000,0.001
GB,FAM6,spotify:track:6TagK3GjsxrAWlV8eISZrS,612292244101,,USDCH1032130,Shiva Stotram,Arijit Chakraborty,N/A,Sublime Bhajans Vol 6,1,Ariha Audio,0.003339,GBP,0.004,0.005
AU,A,spotify:track:33x68jE79Z1jRbAgdAUTfL,711099370058,,INS641200063,jai guru omkara,Gayatri Ashokan,N/A,Anahata,2,The Art of living,0.003224,EUR,0.003,0.004
DK,FAM6,spotify:track:1qWBWMCMNd7wIXaknViBvc,711099369373,,INS641200535,Achutam Keshavam,Vikram Hazra,N/A,Amrit,19,The Art of living,0.063255,EUR,0.063,0.074
BR,P,spotify:track:0Dp6Kb6qFZOlIDGeKhrXA7,612292243876,,USDCH1032016,SHIVOHAM SHIVOHAM,Minakshi Majumdar,N/A,Transcendental,1,Ariha Audio,0.00226,EUR,0.002,0.003
ZA,FAM6,spotify:track:7JqhvC6eZkXuwXgUSHAgtQ,711099368321,,INS641200543,Krishna Kanha,Sachin Limaye,N/A,Best Of Sachin Limaye,3,The Art Of Living,0.003232,EUR,0.003,0.004
AR,A,spotify:track:30UNQILbZApyiGklUKwozt,644824510248,,USDCH1037301,Aghamarshana Suktam,Swami Purnachaitanya,N/A,Suktanjali,1,The Art of living,0.000072,EUR,0.000,0.000
HK,FAM6,spotify:track:47tln8PoDpexvcRxbnAgOJ,711099369632,,INS641200265,Jaya Jaya Krishna Krishna Hare,Sahil Jagtiani,N/A,Best Of Sahil Jagtiani,4,The Art Of Living,0.007431,EUR,0.007,0.009
HU,A,spotify:track:2j39TRa9GsAo4GoqIZrZW6,711099369373,,INS641200541,Nikunj Mein Biraje,Vikram Hazra,N/A,Amrit,2,The Art of living,0.000399,EUR,0.000,0.000
