Country,Product,URI,UPC,EAN,ISRC,Track name,Artist name,Composer name,Album name,Quantity,Label,Payable invoice,Invoice currency,Payable EUR,Payable USD
NP,A,spotify:track:1WNeAFJiK8HKiq6okfUyyA,644824510248,,USDCH1037300,Pavamana Suktam,Swami Purnachaitanya,N/A,Suktanjali,1,The Art of living,0,USD,0.000,0.000
FR,P,spotify:track:3mBmmZf048Gv6WheetGKL0,711099370171,,INS641200544,Sundara Kanha,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,1,The Art Of Living,0.004905,EUR,0.005,0.006
MX,A,spotify:track:2AHpvnMUFvItPsHz9MAT45,612292244132,,USDCH1032146,Solar Plexus Meditation 320 Hz,Sourabh Kumar,N/A,Meditation for soul,2,Ariha Audio,0.000305,EUR,0.000,0.000
IN,PDLS12,spotify:track:4fdtbjfJYVwLarhtX3LTtt,612292244118,,USDCH1032138,Mantra Pushpanjali,Trisha Parui,N/A,Sublime Bhajans Vol 7,1,Ariha Audio,0.000927,USD,0.001,0.001
SE,A,spotify:track:5MBS0vCgI3uBjLnHNpxI09,700621799337,,USDCH1014739,Jhootha,Mathira,N/A,Jhootha,4,Beyond Records,0.003116,EUR,0.003,0.004
SG,DUO,spotify:track:36sk1Z7IwVPphg9L0hFcEE,644824510248,,USDCH1037303,Shraddha Suktam,Swami Purnachaitanya,N/A,Suktanjali,27,The Art of living,0.07432,EUR,0.074,0.087
ID,A,spotify:track:7ITuIMgkLLpnOfC454mVkp,612292244101,,USDCH1032128,He Govind He Gopal,Nirmalya Roy,N/A,Sublime Bhajans Vol 6,1,Ariha Audio,0.000048,EUR,0.000,0.000
IN,FAM6,spotify:track:6ebuD8Rl4EaHYPkWFFCmum,644824517629,,USDCH1040560,Valachi,"Amaan Ali Bangash, Ayaan Ali Bangash",N/A,Raga,1,Hotel Leelaventure Limited,0.000557,USD,0.000,0.001
TH,A,spotify:track:5vKNRgRKf4WucFsnLbppRz,612292244040,,USDCH1032099,Devi Kavacham Mantra,Minakshi Mazumdar,N/A,Sublime Bhajans Vol. 4,1,Ariha Audio,0.00019,EUR,0.000,0.000
IN,P,spotify:track:2MDf3F10nsfU1aKJnBA2zo,889845948018,,USDCH1043570,Rolling Rolling,"Dopeadelicz, Bluesanova",N/A,MapulZ,5,Most Wanted Records - A division of Sippy Media LLP,0.005587,USD,0.005,0.006
MX,FAM6,spotify:track:0A0aNcQVITgOHABB5wpJsI,709586781524,,USDCH1024449,Radhe Govinda Krishna,Trisha Parui,N/A,Sublime Bhajans Vol - 2,3,Ariha Audio,0.00254,EUR,0.003,0.003
IN,A,spotify:track:5tvkJTNJ9X5sghbWjUHDvK,700621799870,,USDCH1015550,Tane Raat Diwas Hu,Deepti Madne,N/A,Bhakt Tu Maro Jawab Sambhali Le,1,Rajmudra Productions,0.000068,USD,0.000,0.000
IN,A,spotify:track:3CDyMzjqlGZcMNIPfbLdhe,700621799818,,USDCH1015289,Sri Sankhesar Aarti 1,Sheela Shethiya,N/A,Sathvaro Sacha Devno,2,Rajmudra Productions,0.000137,USD,0.000,0.000
AU,P,spotify:track:7j1FjDKIRsTxXm78djrgdv,644824510002,,USDCH1037139,Atma Swaroop,Mehul Pandit,N/A,Infinity Within,1,The Art Of Living,0.004173,EUR,0.004,0.005
CO,DUO,spotify:track:5iS5YsHyTBIC8EMUtzGtgD,644824510019,,USDCH1037151,Om Namo Bhagavate Vasudevaya - 108 Times,Swami Purnachaitanya,N/A,Mantra Kavacham,3,The Art Of Living,0.003863,EUR,0.004,0.005
CA,TRIAL-3M,spotify:track:2FR9sRndvI2raZ07duGEaH,644824510248,,USDCH1037302,Samnyasa Suktam,Swami Purnachaitanya,N/A,Suktanjali,5,The Art of living,0.007159,EUR,0.007,0.008
CO,P,spotify:track:3DlNSeX2zzaZNxJdQcZEVz,644824510248,,USDCH1037292,Ganesha Suktam,Swami Purnachaitanya,N/A,Suktanjali,11,The Art of living,0.016353,EUR,0.016,0.019
AU,FAM6,spotify:track:4MBCDZqhPEQ47tVhG4VQMd,612292246655,,USDCH1033661,Shri Radha Sahasranaam,Minakshi Mazumdar,N/A,Sublime Bhajans Vol - 8,1,Ariha Audio,0.002069,EUR,0.002,0.002
PY,FAM6,spotify:track:50RxAXvBs18zquwdwf2ZOV,644824510019,,USDCH1037153,Om Namah Shivaya - 108 Times,Swami Purnachaitanya,N/A,Mantra Kavacham,3,The Art Of Living,0.004104,USD,0.003,0.004
SG,PDIB,spotify:track:4qOpOUL01HYpzskXpJaQIy,711099370171,,INS641201187,Om Namah Shivaya,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,1,The Art Of Living,0.003257,EUR,0.003,0.004
GB,PDS,spotify:track:7eTyXoMvJztDiLtJPUodXY,711099370171,,INS641200548,Jai Jai Radha Ramana Hari Bol,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,11,The Art Of Living,0.029827,GBP,0.035,0.041
MY,A,spotify:track:7fLImsNwJ9vxogQVckeL4L,630808420283,,USDCH1041686,Raja Ji Hone Gali Me Chalo,"Khesari Lal Yadav, Priyanka Singh",N/A,Mehandi Laga Ke Rakhna 3,12,Enterr10 Music Bhojpuri,0.001121,EUR,0.001,0.001
GB,FAM6,spotify:track:74vpZhnOlLVbJl5ZGmDVld,644824516424,,USDCH1039853,Choothi,"Waqar Ex, Bilal Saeed",N/A,Choothi,25,Beyond Records,0.083471,GBP,0.098,0.115
GT,P,spotify:track:3M6nxNh1mi2Mm6pbPLraKM,644824510019,,USDCH1037152,Om Namo Narayanaya - 108 Times,Swami Purnachaitanya,N/A,Mantra Kavacham,1,The Art Of Living,0.002872,USD,0.002,0.003
RU,PDIB,spotify:track:5jDptBzXcm1CNEjWvkgve2,711099370171,,INS641201231,Damroo Bhaje,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,1,The Art Of Living,0.000998,EUR,0.001,0.001
AU,TRIAL-3M,spotify:track:2ARKgOysIm7MilR4ygzRgc,644824510002,,USDCH1037144,Radhe Govinda,Mehul Pandit,N/A,Infinity Within,3,The Art Of Living,0.004366,EUR,0.004,0.005
AR,FAM6,spotify:track:04l7FE9DcshkQrvT8vGOcr,711099369571,,INS641201117,Sundaranana,Dr. Manikantam,N/A,Best Of Dr. Manikantam,5,The Art Of Living,0.003572,EUR,0.004,0.004
SA,A,spotify:track:5sCkzFVc190z1rCa6RMpfP,644824517872,,USDCH1040603,Ka Se Kamaayib,"Khesari Lal Yadav, Priyanka Maurya",N/A,Bhag Khesari Bhag,22,Enterr10 Music Bhojpuri,0.001443,EUR,0.001,0.002
IN,PDLS12,spotify:track:6vVDXzloxPh5i6LllhvEE6,711099362503,,USDCH1500001,Neray Aah,Mathira,N/A,Neray Aah,1,Beyond Records,0.000927,USD,0.001,0.001
GB,DUO,spotify:track:6sxxkc4IeornJmozXmYceH,700621799702,,USDCH1015061,Pehla Pyar,Zohaib Amjad,N/A,Pehla Pyar,8,Beyond Records,0.039593,GBP,0.046,0.055
NZ,FAM6,spotify:track:0bGmGC6u0VH8svOCgg6jxL,711099369281,,INS641200347,Guru Ki Mahima,Chitra Roy,N/A,Best Of Chitra Roy,4,The Art Of Living,0.009287,EUR,0.009,0.011
PL,A,spotify:track:2j39TRa9GsAo4GoqIZrZW6,711099369373,,INS641200541,Nikunj Mein Biraje,Vikram Hazra,N/A,Amrit,7,The Art of living,0.000552,EUR,0.001,0.001
ZA,A,spotify:track:1s8yTFmHbJr4VeniPd06jW,644824516417,,USDCH1039852,Beparwah,"Naseebo Lal, Aryan Khan, Billy",N/A,Beparwah,2,Beyond Records,0.000412,EUR,0.000,0.000
GB,P,spotify:track:2h74VRHlXdDWZ7wANk9WI3,711099369632,,INS641200270,Buddham Sharanam Gacchami,Sahil Jagtiani,N/A,Best Of Sahil Jagtiani,5,The Art Of Living,0.028392,GBP,0.033,0.039
IT,WINBACKMY21,spotify:track:74mKUjKORA57fpb1a4Sf2U,711099364408,,USDCH1019469,Dil Hila Ke Na Chal,Shahid,N/A,Aaj Ka Ye Pal Kitna Suhana Hai,1,N Music,0.003598,EUR,0.004,0.004
BD,PDIB,spotify:track:4kuGja8UmeKf951fvyf67m,612292246617,,USDCH1033635,Aahoo Eh Oriya,"Khesari Lal Yadav, Priyanka Singh",N/A,Naagdev,10,Enterr10 Music Bhojpuri,0.012703,EUR,0.013,0.015
AR,FAM6,spotify:track:6lwXvIpkmc1qtPjWB7gHfu,711099370171,,INS641201233,Gokul Me,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,1,The Art Of Living,0.000714,EUR,0.001,0.001
