Sr. No.,Track Name,Album Name,Artist Name,ISRC,UPC,Language,Label,Ad-Supported Streams,Subscription Streams,Jio-Trial Streams,Total Streams
117,Parameshwari,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032088,612292244033,hindi,Ariha Audio,0,1,0,1
118,Asatoma Sadgamaya,Sublime Bhajans Vol - 3,Trisha Parui,USDCH1025832,710825994407,hindi,Ariha Audio,0,5,0,5
119,Durga Chalisa,Sublime Bhajans Vol - 9,Trisha Parui,USDCH1036762,612292253448,hindi,Ariha Audio,0,1,0,1
120,Raaz,Raaz,Bohemia,USDCH1043320,630808425981,punjabi,Desi Hip Hop Publishing Company,0,279,0,279
121,Jaa Tose Nahi Bolu Kanhaiya,Sublime Bhajans,Arijit Chakraborty,USDCH1021720,711099368024,hindi,Ariha Audio,0,3,0,3
122,Pehli Nazar,Pehli Nazar,"Saifar1, Devika",USDCH1500002,711099362619,hindi,Faith Records & sifar1,0,1,0,1
123,Thinking About You,Thinking About You,"Sofia, Bohemia",USDCH1031994,612292243746,english,Kali Denali Music,0,95,0,95
124,Kashi Ke Vashi,Sublime Bhajans Vol - 10,Avijit Das,USDCH1036774,612292253615,hindi,Ariha Audio,0,11,0,11
125,Maya Tera Kanha,Sublime Bhajans Vol - 10,"Swati Prasad, Rupali Zain",USDCH1036775,612292253615,hindi,Ariha Audio,0,3,0,3
126,Shri Krishna Sahasranaam,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033658,612292246655,hindi,Ariha Audio,0,1,0,1
127,Hare Krishna Hare Rama,Sublime Bhajans Vol 7,Arijit Chakraborty,USDCH1032136,612292244118,hindi,Ariha Audio,0,18,0,18
128,Radhe Govinda Krishna,Sublime Bhajans Vol - 2,Trisha Parui,USDCH1024449,709586781524,hindi,Ariha Audio,0,99,0,99
129,Jaaniya,Jaaniya,"Devika Chawla, Amaan Ali Bangash, Ayaan Ali Bangash",USDCH1041640,630808420498,hindi,"Faith Records, Inc.",0,1,0,1
130,Sarvesham Svastir Bhavatu,Sublime Bhajans Vol - 2,Minakshi mazumdar,USDCH1024450,709586781524,hindi,Ariha Audio,0,34,0,34
131,Shri Vighneshwar Suprabhatam,Sublime Bhajans Vol - 9,Trisha Parui,USDCH1036769,612292253448,hindi,Ariha Audio,0,6,0,6
132,Jaidev Jaidev,Sublime Bhajans,Arijit Chakraborty,USDCH1021722,711099368024,hindi,Ariha Audio,0,3,0,3
133,Ganpati Vandana,Sublime Bhajans Vol 7,Minakshi Majumdar,USDCH1032135,612292244118,hindi,Ariha Audio,0,1,0,1
134,Neer Bharan,Neer Bharan,"Devika, Noor Lodhi",USDCH1036429,612292253226,hindi,Faith Records,0,2,0,2
135,Meter Down,Meter Down,7Bantai'Z,USDCH1043567,630808427039,hindi,"Most Wanted Records, a division of Sippy Media LLP",0,559,0,559
136,Jaidev Jaidev,Sublime Bhajans Vol 6,Minakshi Majumdar,USDCH1032129,612292244101,hindi,Ariha Audio,0,4,0,4
137,Aaja Piya,Aaja Piya,"Devika, Holmes Ives",USDCH1011682,859707108027,hindi,Faith Records,0,4,0,4
138,Hanuman Amritwani,Sublime Bhajans Vol - 8,Disha Roy,USDCH1033645,612292246655,hindi,Ariha Audio,0,1,0,1
139,Yaa Devi Sarva Bhuteshu,Sublime Bhajans Vol. 4,Nirmalya Roy,USDCH1032100,612292244040,hindi,Ariha Audio,0,2,0,2
140,Gopiyan aa jaengi,Sublime Bhajans Vol - 10,"Avijit Das, Swati Prasad",USDCH1036772,612292253615,hindi,Ariha Audio,0,10,0,10
141,Shri Krishna Sharanam Mamah,Sublime Bhajans Vol - 8,Trisha Parui,USDCH1033659,612292246655,hindi,Ariha Audio,0,4,0,4
142,Achyutam Keshavam,Sublime Bhajans,Trisha Parui,USDCH1021716,711099368024,hindi,Ariha Audio,0,30,0,30
143,Rog,Rog,Bohemia,CA5KR2079194,735119599717,punjabi,Desi Hip Hop Publishing Company,0,135,0,135
144,Gayatri Mantra,Sublime Bhajans,Madhura Banerjee,USDCH1021724,711099368024,hindi,Ariha Audio,0,42,0,42
145,Jai Madhav Madan Murari,Sublime Bhajans Vol - 2,Minakshi mazumdar,USDCH1024448,709586781524,hindi,Ariha Audio,0,33,0,33
146,Sri Krishna Ashtakam,Sublime Bhajans Vol - 9,Minakshi Majumdar,USDCH1036770,612292253448,hindi,Ariha Audio,0,8,0,8
147,Aish,Aish,Bohemia,CA5KR2035550,735119434346,punjabi,Desi Hip Hop Publishing Company,0,109,0,109
148,Maha Ganapathim Manasa,Sublime Bhajans Vol - 9,Minakshi Majumdar,USDCH1036767,612292253448,hindi,Ariha Audio,0,8,0,8
149,Salute,Salute,Bohemia,USDCH1500003,711099362732,punjabi,Desi Hip Hop Publishing Company,0,375,0,375
150,Hanuman Mantra,Sublime Bhajans Vol - 8,Disha Roy,USDCH1033646,612292246655,hindi,Ariha Audio,0,3,0,3
151,Om Namah Shivaya,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032087,612292244033,hindi,Ariha Audio,0,1,0,1
152,Mere To Giridhar Gopal,Sublime Bhajans,Trisha Parui,USDCH1021723,711099368024,hindi,Ariha Audio,0,36,0,36
153,Surya sahasranama,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033662,612292246655,hindi,Ariha Audio,0,2,0,2
154,Radhe Radhe Shyam,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032089,612292244033,hindi,Ariha Audio,0,2,0,2
155,Alakh Niranjan,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032092,612292244033,hindi,Ariha Audio,0,1,0,1
156,Yaad Anah,Yaad Anah,Bohemia,USDCH1014743,700621799375,punjabi,Desi Hip Hop Publishing Company,0,52,0,52
157,Shiva Stotram,Sublime Bhajans Vol 6,Arijit Chakraborty,USDCH1032130,612292244101,hindi,Ariha Audio,0,13,0,13
158,Ram Raksha Stotra,Sublime Bhajans Vol - 8,Trisha Parui,USDCH1033652,612292246655,hindi,Ariha Audio,0,4,0,4
159,Hey Bajrang Bali Hanuman,Sublime Bhajans Vol - 9,Dipjoy Sircar,USDCH1036765,612292253448,hindi,Ariha Audio,0,5,0,5
160,Mantra Pushpanjali,Sublime Bhajans Vol 7,Trisha Parui,USDCH1032138,612292244118,hindi,Ariha Audio,0,4,0,4
161,Hanuman Chalisa,Sublime Bhajans Vol - 9,Gourab Shome,USDCH1036764,612292253448,hindi,Ariha Audio,0,13,0,13
162,Aditya Hrudayam Stotram,Sublime Bhajans Vol - 9,Trisha Parui,USDCH1036760,612292253448,hindi,Ariha Audio,0,6,0,6
