id,Channel,Partner_Provided,UGC,Channel_id,Label,AssetChannelID,Label2,CMS,client_youtube_shares
1229,Channel to be confirmed,DigizenV3yoga,DigizenV3yogaUGC,Channel to be confirmed,V3YOG,Channel to be confirmed,V3YOG,ND Music,30
1230,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHARK,Channel to be confirmed,MMARIHARK,ND Music,30
1231,Channel to be confirmed,DivoTV,DivoTVUGC,Channel to be confirmed,KOS,Channel to be confirmed,KOS,ND Music,30
1232,channel to be confirmed,chetanthakkar,chetanthakkarugc,channel to be confirmed,cip,channel to be confirmed,cip,nd kids,30
1233,MaitriBodh Parivaar,MaitriBodh,MaitriBodhUGC,GYolLzoDug1De15prkupIA,MBP,UCGYolLzoDug1De15prkupIA,MBP,ND Music,30
1234,SOCIAL BANDA,AjayYadav,AjayYadavUGC,fcGMlIeZHqVA0txrF5wqnA,AJY,UCfcGMlIeZHqVA0txrF5wqnA,AJY,ND Music,30
1235,PatentYogi,SearchPrecise,SearchPreciseUGC,_b3p6ISMj_txO90uM0c5Qg,SPC,UC_b3p6ISMj_txO90uM0c5Qg,SPC,ND Music,30
1236,Channel to be confirmed,PawanJalan,PawanJalanUGC,Channel to be confirmed,PAJ,Channel to be confirmed,PAJ,ND Music,30
1237,Farhad Humayun & Overload Official,overloadvideos,overloadvideosUGC,mhHrdnKgeiV27LCa7VbEPA,OLV,UCmhHrdnKgeiV27LCa7VbEPA,OLV,ND Music,30
1238,Channel to be confirmed,ND-PAK,ND-PAKUGC,Channel to be confirmed,NDPAK2,Channel to be confirmed,NDPAK2,ND Music,30
1239,FilmKRAFT,FilmKraft,FilmKraftUGC,t5A35uhB3dVf-KFGCOyqtA,DIGIFK,UCt5A35uhB3dVf-KFGCOyqtA,DIGIFK,ND Music,30
1240,Channel to be confirmed,RuskMedia,RuskMediaUGC,Channel to be confirmed,RUME,Channel to be confirmed,RUME,ND Music,30
1241,Channel to be confirmed,HumMasala,HumMasalaUGC,Channel to be confirmed,HMR,Channel to be confirmed,HMR,ND Music,30
1242,Channel to be confirmed,Enter10-Tamil,Enter10-TamilUGC,Channel to be confirmed,ENT10T,Channel to be confirmed,ENT10T,ND Music,30
1243,Channel to be confirmed,blaack&whitefilms,blaack&whitefilmsUGC,Channel to be confirmed,BWCF,Channel to be confirmed,BWCF,ND Music,30
1244,Channel to be confirmed,Embibe,EmbibeUGC,Channel to be confirmed,EMB,Channel to be confirmed,EMB,ND Music,30
