id,Channel,partner_provided,ugc,Channel_id,Label,assetChannelID,Label2,CMS,client_youtube_shares
3084,We Love Hip Hop Network,KofiHipHop,KofiHipHopUGC,SGbGTkweBvH79LnMha5bxg,WLHH,UCSGbGTkweBvH79LnMha5bxg,WLHH,ND Kids,30
3085,TakumaHellWrathShock,Takuma,TakumaUGC,g6ay0I25ubwul4uu7QYXeA,TAK,UCg6ay0I25ubwul4uu7QYXeA,TAK,ND Kids,30
3086,Anamika,Anamika,AnamikaUGC,Lr5n0vslEVwzAlQYVJyecg,ANAMIKA,UCLr5n0vslEVwzAlQYVJyecg,ANAMIKA,ND Music,30
3087,Shipra's Kitchen,ShipraKhanna,ShipraKhannaUGC,mV-QvDtCF-zonCGzay6YRA,SHIPRA,UCmV-QvDtCF-zonCGzay6YRA,SHIPRA,ND Music,30
3088,Net Pix Shorts,FSEntCap,FSEntCapUGC,6Nxu_0rmD-vkUoEWqfavOw,FSEC,UC6Nxu_0rmD-vkUoEWqfavOw,FSEC,ND Music,30
3089,Cotton press studios,CottonPress,CottonPressUGC,a27a1br2PB482-jNx3fvVg,MAUJ,UCa27a1br2PB482-jNx3fvVg,MAUJ,ND Music,30
3090,We Love Hip Hop Network,KofiHipHop,KofiHipHopUGC,SGbGTkweBvH79LnMha5bxg,WLHH,UCSGbGTkweBvH79LnMha5bxg,WLHH,ND Music,30
3091,TakumaHellWrathShock,Takuma,TakumaUGC,g6ay0I25ubwul4uu7QYXeA,TAK,UCg6ay0I25ubwul4uu7QYXeA,TAK,ND Music,30
3092,Anamika,Anamika,AnamikaUGC,Lr5n0vslEVwzAlQYVJyecg,ANAMIKA,UCLr5n0vslEVwzAlQYVJyecg,ANAMIKA,ND1,30
3093,Shipra's Kitchen,ShipraKhanna,ShipraKhannaUGC,mV-QvDtCF-zonCGzay6YRA,SHIPRA,UCmV-QvDtCF-zonCGzay6YRA,SHIPRA,ND1,30
3094,Net Pix Shorts,FSEntCap,FSEntCapUGC,6Nxu_0rmD-vkUoEWqfavOw,FSEC,UC6Nxu_0rmD-vkUoEWqfavOw,FSEC,ND1,30
3095,Cotton press studios,CottonPress,CottonPressUGC,a27a1br2PB482-jNx3fvVg,MAUJ,UCa27a1br2PB482-jNx3fvVg,MAUJ,ND1,30
3096,We Love Hip Hop Network,KofiHipHop,KofiHipHopUGC,SGbGTkweBvH79LnMha5bxg,WLHH,UCSGbGTkweBvH79LnMha5bxg,WLHH,ND1,30
3097,TakumaHellWrathShock,Takuma,TakumaUGC,g6ay0I25ubwul4uu7QYXeA,TAK,UCg6ay0I25ubwul4uu7QYXeA,TAK,ND1,30
3098,Anamika,Anamika,AnamikaUGC,Lr5n0vslEVwzAlQYVJyecg,ANAMIKA,UCLr5n0vslEVwzAlQYVJyecg,ANAMIKA,ND2,30
3099,Shipra's Kitchen,ShipraKhanna,ShipraKhannaUGC,mV-QvDtCF-zonCGzay6YRA,SHIPRA,UCmV-QvDtCF-zonCGzay6YRA,SHIPRA,ND2,30
3100,Net Pix Shorts,FSEntCap,FSEntCapUGC,6Nxu_0rmD-vkUoEWqfavOw,FSEC,UC6Nxu_0rmD-vkUoEWqfavOw,FSEC,ND2,30
3101,Cotton press studios,CottonPress,CottonPressUGC,a27a1br2PB482-jNx3fvVg,MAUJ,UCa27a1br2PB482-jNx3fvVg,MAUJ,ND2,30
3102,We Love Hip Hop Network,KofiHipHop,KofiHipHopUGC,SGbGTkweBvH79LnMha5bxg,WLHH,UCSGbGTkweBvH79LnMha5bxg,WLHH,ND2,30
3103,TakumaHellWrathShock,Takuma,TakumaUGC,g6ay0I25ubwul4uu7QYXeA,TAK,UCg6ay0I25ubwul4uu7QYXeA,TAK,ND2,30
3104,Channel to be confirmed,NirvanaUGC,NirvanaUGC,Channel to be confirmed,NHSAA,Channel to be confirmed,NHSAA,ND1,30
3105,Channel to be confirmed,NirvanaUGC,NirvanaUGC,Channel to be confirmed,NHSAA,Channel to be confirmed,NHSAA,ND2,30
3106,Channel to be confirmed,NirvanaUGC,NirvanaUGC,Channel to be confirmed,NHSAA,Channel to be confirmed,NHSAA,ND Kids,30
3107,Channel to be confirmed,NirvanaUGC,NirvanaUGC,Channel to be confirmed,NHSAA,Channel to be confirmed,NHSAA,ND Music,30
3108,Channel to be confirmed,ErikLLP,ErikLLPUGC,Channel to be confirmed,TNDMBR,Channel to be confirmed,TNDMBR,ND1,30
3109,Channel to be confirmed,ErikLLP,ErikLLPUGC,Channel to be confirmed,TNDMBR,Channel to be confirmed,TNDMBR,ND2,30
3110,Channel to be confirmed,ErikLLP,ErikLLPUGC,Channel to be confirmed,TNDMBR,Channel to be confirmed,TNDMBR,ND Kids,30
3111,Channel to be confirmed,ErikLLP,ErikLLPUGC,Channel to be confirmed,TNDMBR,Channel to be confirmed,TNDMBR,ND Music,30
3112,Channel to be confirmed,DDENTV,DDENTVUGC,Channel to be confirmed,DDENYU,Channel to be confirmed,DDENYU,ND1,30
3113,Channel to be confirmed,DDENTV,DDENTVUGC,Channel to be confirmed,DDENYU,Channel to be confirmed,DDENYU,ND2,30
3114,Channel to be confirmed,DDENTV,DDENTVUGC,Channel to be confirmed,DDENYU,Channel to be confirmed,DDENYU,ND Kids,30
3115,Channel to be confirmed,DDENTV,DDENTVUGC,Channel to be confirmed,DDENYU,Channel to be confirmed,DDENYU,ND Music,30
3116,Channel to be confirmed,TATHASTU,TATHASTUUGC,Channel to be confirmed,SAMAR,Channel to be confirmed,SAMAR,ND1,30
3117,Channel to be confirmed,TATHASTU,TATHASTUUGC,Channel to be confirmed,SAMAR,Channel to be confirmed,SAMAR,ND2,30
3118,Channel to be confirmed,TATHASTU,TATHASTUUGC,Channel to be confirmed,SAMAR,Channel to be confirmed,SAMAR,ND Kids,30
3119,Channel to be confirmed,TATHASTU,TATHASTUUGC,Channel to be confirmed,SAMAR,Channel to be confirmed,SAMAR,ND Music,30
3120,channel to be confirmed,sohamrockstar,sohamrockstarugc,channel to be confirmed,digisre,channel to be confirmed,digisre,nd1,30
3121,channel to be confirmed,sohamrockstar,sohamrockstarugc,channel to be confirmed,digisre,channel to be confirmed,digisre,nd2,30
3122,channel to be confirmed,sohamrockstar,sohamrockstarugc,channel to be confirmed,digisre,channel to be confirmed,digisre,nd kids,30
3123,channel to be confirmed,sohamrockstar,sohamrockstarugc,channel to be confirmed,digisre,channel to be confirmed,digisre,nd music,30
3124,Channel to be confirmed,Palmstone,PalmstoneUGC,Channel to be confirmed,PALM,Channel to be confirmed,PALM,ND1,30
3125,Channel to be confirmed,Palmstone,PalmstoneUGC,Channel to be confirmed,PALM,Channel to be confirmed,PALM,ND2,30
3126,Channel to be confirmed,Palmstone,PalmstoneUGC,Channel to be confirmed,PALM,Channel to be confirmed,PALM,ND Kids,30
3127,Channel to be confirmed,Palmstone,PalmstoneUGC,Channel to be confirmed,PALM,Channel to be confirmed,PALM,ND Music,30
3128,Channel to be confirmed,Abbtakk,AbbtakkUGC,Channel to be confirmed,ABTV,Channel to be confirmed,ABTV,ND Music,30
3129,Channel to be confirmed,CapitalTV,CapitalTVUGC,Channel to be confirmed,CATV,Channel to be confirmed,CATV,ND Music,30
3130,Channel to be confirmed,HRXBrand,HRXBrandUGC,Channel to be confirmed,DIGIHR,Channel to be confirmed,DIGIHR,ND Music,30
3131,Channel to be confirmed,Enter10-DangalKannada,Enter10-DangalKannadaUGC,Channel to be confirmed,ENT10K,Channel to be confirmed,ENT10K,ND Music,30
3132,Channel to be confirmed,BathinaSuresh,BathinaSureshUGC,Channel to be confirmed,KNX,Channel to be confirmed,KNX,ND Music,30
3133,Channel to be confirmed,Luminosity,LuminosityUGC,Channel to be confirmed,LPL,Channel to be confirmed,LPL,ND Music,30
3134,Channel to be confirmed,MatthewOjoduma,MatthewOjodumaUGC,Channel to be confirmed,MAO,Channel to be confirmed,MAO,ND Music,30
3135,Channel to be confirmed,MurphyNIgeria,MurphyNIgeriaUGC,Channel to be confirmed,MBI,Channel to be confirmed,MBI,ND Music,30
3136,Channel to be confirmed,NakodaMusic,NakodaMusicUGC,Channel to be confirmed,NAKO,Channel to be confirmed,NAKO,ND Music,30
