Adjustment Type,Day,Country,Video ID,Channel ID,Asset ID,Asset Channel ID,Asset Type,Custom ID,Content Type,Policy,Claim Type,Claim Origin,Owned Views,YouTube Revenue Split : Auction,YouTube Revenue Split : Reserved,YouTube Revenue Split : Partner Sold YouTube Served,YouTube Revenue Split : Partner Sold Partner Served,YouTube Revenue Split,Partner Revenue : Auction,Partner Revenue : Reserved,Partner Revenue : Partner Sold YouTube Served,Partner Revenue : Partner Sold Partner Served,Partner Revenue
None,20210301,IN,#NAME?,UCdV12RA-xaRFF_L3v3YKAbA,A503920002761884,UCdV12RA-xaRFF_L3v3YKAbA,Web,#NAME?,Partner-provided,monetize,Audio-Visual,Web Upload,0,0.000552,0,0,0,0.000552,0.000304,0,0,0,0.000304
None,20210302,IN,#NAME?,UCdV12RA-xaRFF_L3v3YKAbA,A503920002761884,UCdV12RA-xaRFF_L3v3YKAbA,Web,#NAME?,Partner-provided,monetize,Audio-Visual,Web Upload,2,0,0,0,0,0,0,0,0,0,0
